,Column,Feature,Importance Score
933,Column_933,an ,0
934,Column_934,ana,0
935,Column_935,anal,0
936,Column_936,anal ,1
937,Column_937,anal b,0
938,Column_938,anal bf,0
939,Column_939,anal bfs,0
940,Column_940,anal f,0
941,Column_941,anal fs,0
942,Column_942,anb,39
943,Column_943,anbi,0
944,Column_944,anbin,0
945,Column_945,anbind,0
946,Column_946,anbindu,0
947,Column_947,anbindun,0
948,Column_948,and,0
949,Column_949,and ,0
950,Column_950,and a,0
951,Column_951,and ag,0
952,Column_952,and agg,0
953,Column_953,and aggr,0
954,Column_954,and b,0
955,Column_955,and h,0
956,Column_956,and hi,0
957,Column_957,and m,0
958,Column_958,and o,0
959,Column_959,and ob,0
960,Column_960,and obe,0
961,Column_961,and ober,0
962,Column_962,and u,0
963,Column_963,and un,0
964,Column_964,and unt,0
965,Column_965,and unte,0
966,Column_966,ang,0
967,Column_967,ange,0
968,Column_968,ani,0
969,Column_969,anik,0
970,Column_970,ank,0
971,Column_971,ank ,0
972,Column_972,ann,39
973,Column_973,anne,4
974,Column_974,anne ,0
975,Column_975,ans,0
976,Column_976,ansa,0
977,Column_977,ansau,0
978,Column_978,ansaug,0
979,Column_979,ansc,0
980,Column_980,ansch,0
981,Column_981,anschl,0
982,Column_982,anschlu,0
983,Column_983,anschlus,0
984,Column_984,ant,9
985,Column_985,ante,45
986,Column_986,anten,15
987,Column_987,antens,70
988,Column_988,antensc,23
989,Column_989,antensch,9
990,Column_990,antr,0
991,Column_991,antri,0
992,Column_992,antrie,0
993,Column_993,antrieb,0
994,Column_994,anu,0
995,Column_995,anue,0
996,Column_996,anuel,0
997,Column_997,anuell,0
998,Column_998,anz,0
999,Column_999,app,11
1000,Column_1000,appe,5
1001,Column_1001,appe ,0
1002,Column_1002,appe h,0
1003,Column_1003,appen,0
1004,Column_1004,apt,0
1005,Column_1005,apte,0
1006,Column_1006,apter,0
1007,Column_1007,apter ,0
1008,Column_1008,apter t,0
1009,Column_1009,apter tr,0
1010,Column_1010,ar ,0
1011,Column_1011,arm,0
1012,Column_1012,arm ,0
1013,Column_1013,arma,0
1014,Column_1014,armau,0
1015,Column_1015,armauf,0
1016,Column_1016,armaufl,0
1017,Column_1017,armaufla,0
1018,Column_1018,arml,0
1019,Column_1019,arn,0
1020,Column_1020,arni,0
1021,Column_1021,arnie,0
1022,Column_1022,arnier,0
1023,Column_1023,arnier ,0
1024,Column_1024,arnier h,0
1025,Column_1025,arnierv,0
1026,Column_1026,arnierve,0
1027,Column_1027,art,0
1028,Column_1028,art ,0
1029,Column_1029,arte,0
1030,Column_1030,arten,0
1031,Column_1031,artent,0
1032,Column_1032,artenta,0
1033,Column_1033,artentas,0
1034,Column_1034,arz,0
1035,Column_1035,as ,0
1036,Column_1036,asa,1
1037,Column_1037,asae,7
1038,Column_1038,asaeu,1
1039,Column_1039,asaeul,2
1040,Column_1040,asaeule,0
1041,Column_1041,asaeule ,0
1042,Column_1042,asc,0
1043,Column_1043,asch,0
1044,Column_1044,asche,0
1045,Column_1045,asche ,0
1046,Column_1046,asd,31
1047,Column_1047,asdd,0
1048,Column_1048,asdda,0
1049,Column_1049,ash,0
1050,Column_1050,ashv,0
1051,Column_1051,ashve,0
1052,Column_1052,ashver,0
1053,Column_1053,ashvers,0
1054,Column_1054,ashverst,0
1055,Column_1055,asi,5
1056,Column_1056,asis,1
1057,Column_1057,asis ,2
1058,Column_1058,ass,2
1059,Column_1059,asse,2
1060,Column_1060,asser,0
1061,Column_1061,assera,0
1062,Column_1062,asserab,0
1063,Column_1063,asserabl,0
1064,Column_1064,asserr,0
1065,Column_1065,asserri,0
1066,Column_1066,asserrin,0
1067,Column_1067,ast,0
1068,Column_1068,aste,0
1069,Column_1069,asten,0
1070,Column_1070,at ,0
1071,Column_1071,ate,4
