,Column,Feature,Importance Score
4313,Column_4313,hev st,0
4314,Column_4314,hev sto,0
4315,Column_4315,hev stof,0
4316,Column_4316,hge,0
4317,Column_4317,hges,0
4318,Column_4318,hgese,0
4319,Column_4319,hgeset,0
4320,Column_4320,hgesetz,0
4321,Column_4321,hgesetzt,0
4323,Column_4323,hi b,0
4324,Column_4324,hi ba,0
4325,Column_4325,hi bas,0
4326,Column_4326,hi basi,0
4310,Column_4310,hev sc,0
4309,Column_4309,hev s,0
4308,Column_4308,hev gpr ,0
4299,Column_4299,heny,0
4292,Column_4292,heibe,0
4294,Column_4294,heibe h,0
4295,Column_4295,heibe hu,0
4296,Column_4296,heibe v,0
4297,Column_4297,heibe vs,0
4298,Column_4298,hen,0
4300,Column_4300,heny ,0
4307,Column_4307,hev gpr,0
4301,Column_4301,heny a,0
4302,Column_4302,heny at,0
4303,Column_4303,hev,0
4304,Column_4304,hev ,0
4305,Column_4305,hev g,0
4306,Column_4306,hev gp,0
4246,Column_4246,haut h,0
4245,Column_4245,haut cfk,0
4244,Column_4244,haut cf,0
4243,Column_4243,haut c,0
4188,Column_4188,h zone,0
4189,Column_4189,h zonen,0
4190,Column_4190,had,0
4191,Column_4191,hado,0
4192,Column_4192,hadow,0
4193,Column_4193,hadow ,0
4194,Column_4194,hadow m,0
4195,Column_4195,hadow ms,0
4196,Column_4196,hadowg,0
4197,Column_4197,hadowgr,0
4198,Column_4198,hadowgre,0
4199,Column_4199,hal,0
4200,Column_4200,hale,0
4201,Column_4201,hale ,0
4202,Column_4202,hale c,0
4187,Column_4187,h zon,0
4186,Column_4186,h zo,0
4185,Column_4185,h z,0
4176,Column_4176,h bomb,0
4170,Column_4170,h auss,0
4171,Column_4171,h ausse,0
4172,Column_4172,h aussen,0
4173,Column_4173,h b,0
4174,Column_4174,h bo,0
4175,Column_4175,h bom,0
4177,Column_4177,h bombi,0
4184,Column_4184,h ssr el,0
4178,Column_4178,h bombie,0
4179,Column_4179,h s,0
4180,Column_4180,h ss,0
4181,Column_4181,h ssr,0
4182,Column_4182,h ssr ,0
4183,Column_4183,h ssr e,0
4203,Column_4203,hale cn,0
4206,Column_4206,halteg,0
4207,Column_4207,haltegr,0
4235,Column_4235,haube wa,0
4229,Column_4229,haube,0
4230,Column_4230,haube ,0
4231,Column_4231,haube s,0
4232,Column_4232,haube sc,0
4233,Column_4233,haube st,0
4234,Column_4234,haube w,0
4236,Column_4236,haus,0
4226,Column_4226,hape xev,0
4237,Column_4237,hauss,0
4238,Column_4238,hausse,0
4239,Column_4239,haussen,0
4240,Column_4240,haussenh,0
4241,Column_4241,haut,0
4242,Column_4242,haut ,0
4228,Column_4228,haub,0
4225,Column_4225,hape xe,0
4208,Column_4208,haltegri,0
4216,Column_4216,hantenn,0
4209,Column_4209,halter,0
4210,Column_4210,halter ,0
4211,Column_4211,halter h,0
4213,Column_4213,hant,0
4214,Column_4214,hante,0
4215,Column_4215,hanten,0
4217,Column_4217,hantenne,0
4224,Column_4224,hape x,0
4218,Column_4218,hap,0
4219,Column_4219,hape,0
4220,Column_4220,hape ,0
4221,Column_4221,hape h,0
4222,Column_4222,hape hi,0
4223,Column_4223,hape hi ,0
4327,Column_4327,hi basis,0
4329,Column_4329,hi bev,0
4489,Column_4489,hme einl,0
4448,Column_4448,hinten l,0
4423,Column_4423,hig,0
4424,Column_4424,high,0
4425,Column_4425,high ,0
4426,Column_4426,high z,0
4427,Column_4427,high zo,0
4428,Column_4428,high zon,0
4433,Column_4433,himmel ,0
4434,Column_4434,himmel e,0
4435,Column_4435,himmel n,0
4436,Column_4436,himmel p,0
4437,Column_4437,himmel s,0
4438,Column_4438,himmel u,0
4440,Column_4440,hint,0
4444,Column_4444,hinten b,0
4446,Column_4446,hinten h,0
4422,Column_4422,hifi,0
4421,Column_4421,hif,0
4420,Column_4420,hiene tv,0
4411,Column_4411,hiebbar ,0
4405,Column_4405,hiebb,0
4406,Column_4406,hiebb ,0
4407,Column_4407,hiebb e,0
4408,Column_4408,hiebb el,0
4409,Column_4409,hiebba,0
4410,Column_4410,hiebbar,0
4412,Column_4412,hiebe,0
4419,Column_4419,hiene t,0
4413,Column_4413,hiebeh,0
4414,Column_4414,hiebehi,0
4415,Column_4415,hiebehim,0
4416,Column_4416,hien,0
4417,Column_4417,hiene,0
4418,Column_4418,hiene ,0
4447,Column_4447,hinten i,0
4449,Column_4449,hinten m,0
4330,Column_4330,hi e,0
4450,Column_4450,hinten o,0
4472,Column_4472,hle,0
4473,Column_4473,hlei,0
4474,Column_4474,hlein,0
4475,Column_4475,hleinl,0
4476,Column_4476,hleinle,0
4477,Column_4477,hleinleg,0
4478,Column_4478,hli,0
4479,Column_4479,hlie,0
4480,Column_4480,hlies,0
4481,Column_4481,hliess,0
4482,Column_4482,hliessb,0
4483,Column_4483,hliessbl,0
4485,Column_4485,hme ,0
4486,Column_4486,hme e,0
4487,Column_4487,hme ei,0
4471,Column_4471,hkl sr,0
4470,Column_4470,hkl s,0
4469,Column_4469,hkl oben,0
